Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2016,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2017,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2018,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2019,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2020,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2021,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2022,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2023,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
2024,Normal value,Units,Administrative data from National Animal Genetic Resources Centre and Data Bank,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) [2.5.2],,Number,0
