Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2006,A,0,URA,GR_G14_GDP,,PT,12.947042342769096
2007,A,0,URA,GR_G14_GDP,,PT,13.383572678337735
2008,A,0,URA,GR_G14_GDP,,PT,13.895969173551864
2009,A,0,URA,GR_G14_GDP,,PT,9.650268276915936
2010,A,0,URA,GR_G14_GDP,,PT,10.975292945989782
2011,A,0,URA,GR_G14_GDP,,PT,11.46150310662798
2012,A,0,URA,GR_G14_GDP,,PT,10.89366970218007
2013,A,0,URA,GR_G14_GDP,,PT,11.617787875239223
2014,A,0,URA,GR_G14_GDP,,PT,11.813234666412953
2015,A,0,URA,GR_G14_GDP,,PT,12.840514005816548
2016,A,0,URA,GR_G14_GDP,,PT,11.549953262466792
2017,A,0,URA,GR_G14_GDP,,PT,11.93415768331096
2018,A,0,URA,GR_G14_GDP,,PT,12.220173293497066
2019,A,0,URA,GR_G14_GDP,,PT,12.837711711936777
2020,A,0,URA,GR_G14_GDP,,PT,12.258457816492616
2021,A,0,URA,GR_G14_GDP,,PT,13.249186838379073
2022,A,0,URA,GR_G14_GDP,,PT,13.78874980008111
2023,A,0,URA,GR_G14_GDP,,PT,13.973762731046849
2024,A,0,URA,GR_G14_GDP,,PT,13.78145478425115
2025,A,0,URA,GR_G14_GDP,,PT,14.295703
