Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2023,Normal value,Units,Administrative data   by Ministry of Gender Labour and Social Development,"""Existence of a developed and operationalized national strategy for youth employment",,Number,1
2024,Normal value,Units,Administrative data   by Ministry of Gender Labour and Social Development,"""Existence of a developed and operationalized national strategy for youth employment",,Number,2
2025,Normal value,Units,Administrative data   by Ministry of Gender Labour and Social Development,"""Existence of a developed and operationalized national strategy for youth employment",,Number,2
