Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2023,A,0,Administrative data   by Ministry of Gender Labour and Social Development,SL_CPA_YEMP,,NUMBER,1
2024,A,0,Administrative data   by Ministry of Gender Labour and Social Development,SL_CPA_YEMP,,NUMBER,2
2025,A,0,Administrative data   by Ministry of Gender Labour and Social Development,SL_CPA_YEMP,,NUMBER,2
