Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2016,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Proportion of children engaged in economic activity [8.7.1],,,,Percent,15.1
2021,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Proportion of children engaged in economic activity [8.7.1],,,,Percent,39.5
2016,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Proportion of children engaged in economic activity [8.7.1],,Female,,Percent,13.5
2021,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Proportion of children engaged in economic activity [8.7.1],,Female,,Percent,38.0
2016,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Proportion of children engaged in economic activity [8.7.1],,Male,,Percent,16.8
2021,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Proportion of children engaged in economic activity [8.7.1],,Male,,Percent,40.9
2016,Normal value,Units,NLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,,5 to 17 years old,Percent,15.1
2021,Normal value,Units,NLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,,5 to 17 years old,Percent,39.5
2016,Normal value,Units,NLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,5 to 17 years old,Percent,13.5
2021,Normal value,Units,NLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,5 to 17 years old,Percent,38.0
2016,Normal value,Units,NLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,5 to 17 years old,Percent,16.8
2021,Normal value,Units,NLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,5 to 17 years old,Percent,40.9
