Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,575.0
2016,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,664.0
2017,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,632.0
2018,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,622.0
2019,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,607.0
2020,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,673.0
2021,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,528.6
2022,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,446.6
2023,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,452.0
2024,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,418.8
