Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2019,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) [17.18.2],,Score,1
2020,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) [17.18.2],,Score,1
2021,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) [17.18.2],,Score,1
2022,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) [17.18.2],,Score,1
2023,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) [17.18.2],,Score,1
2024,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO) [17.18.2],,Score,1
