Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 1. Migrant rights,Number,3
2020,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 1. Migrant rights,Number,3
2019,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 2. Whole-of-government/ Evidence-based policies,Number,2
2019,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 3. Cooperation and partnerships,Number,4
2019,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 4. Socioeconomic well-being,Number,3
2019,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 5. Mobility dimensions of crises,Number,4
2019,Normal value,Units,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”) The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,"""Policy Domain 6. Safe",Number,4
