From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
SOURCE_DETAIL,EDUCATION_LEV
COMPOSITE_BREAKDOWN,SEX
EDUCATION_LEV,COMPOSITE_BREAKDOWN
