Year,COMPOSITE_BREAKDOWN,Value
2015,_L_UG_ATM,4.7
2016,_L_UG_ATM,4.6
2017,_L_UG_ATM,4.2
2018,_L_UG_ATM,4.2
2019,_L_UG_ATM,4.7
2015,_L_UG_COMMERCIAL_BANK,3.0
2016,_L_UG_COMMERCIAL_BANK,2.9
2017,_L_UG_COMMERCIAL_BANK,2.7
2018,_L_UG_COMMERCIAL_BANK,2.6
2019,_L_UG_COMMERCIAL_BANK,3.1
