Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,3224
2016,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,3503
2017,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,3500
2018,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,3698
2019,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,3880
2020,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,3663
2021,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,4159
2022,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,4534
2023,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,4806
2024,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,5144
2025,A,0,Reported Crime data,SH_STA_TRAFN,,,NUMBER,5383
2015,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,690
2016,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,766
2017,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,668
2018,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,769
2019,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,918
2020,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,718
2021,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,808
2022,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,816
2023,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,1227
2024,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,933
2025,A,0,Reported Crime data,SH_STA_TRAFN,,F,NUMBER,912
2015,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,2534
2016,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,2737
2017,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,2832
2018,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,2920
2019,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,2962
2020,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,2945
2021,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,3351
2022,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,3718
2023,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,3579
2024,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,4211
2025,A,0,Reported Crime data,SH_STA_TRAFN,,M,NUMBER,4471
