Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,Reported Crime data,Suicide mortality rate [3.4.2],,,"Per 100,000 population",42.0
2016,Normal value,Units,Reported Crime data,Suicide mortality rate [3.4.2],,,"Per 100,000 population",74.0
2017,Normal value,Units,Reported Crime data,Suicide mortality rate [3.4.2],,,"Per 100,000 population",105.0
2018,Normal value,Units,Reported Crime data,Suicide mortality rate [3.4.2],,,"Per 100,000 population",60.0
2019,Normal value,Units,Reported Crime data,Suicide mortality rate [3.4.2],,,"Per 100,000 population",85.0
2025,Normal value,Units,Reported Crime data,Suicide mortality rate [3.4.2],,Female,"Per 100,000 population",0.53
