Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2016,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_CHLDEA,,,,PT,15.1
2021,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_CHLDEA,,,,PT,39.5
2016,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_CHLDEA,,F,,PT,13.5
2021,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_CHLDEA,,F,,PT,38.0
2016,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_CHLDEA,,M,,PT,16.8
2021,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_CHLDEA,,M,,PT,40.9
2016,A,0,NLFS,SL_TLF_CHLDEC,,,Y5T17,PT,15.1
2021,A,0,NLFS,SL_TLF_CHLDEC,,,Y5T17,PT,39.5
2016,A,0,NLFS,SL_TLF_CHLDEC,,F,Y5T17,PT,13.5
2021,A,0,NLFS,SL_TLF_CHLDEC,,F,Y5T17,PT,38.0
2016,A,0,NLFS,SL_TLF_CHLDEC,,M,Y5T17,PT,16.8
2021,A,0,NLFS,SL_TLF_CHLDEC,,M,Y5T17,PT,40.9
