Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2017,A,0,UNHS,SL_TLF_NEET_19ICLS,,,Y15T24,PT,43.6
2020,A,0,UNHS,SL_TLF_NEET_19ICLS,,,Y15T24,PT,45.8
2017,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,,Y15T26,PT,43.6
2020,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,,Y15T26,PT,45.8
2023,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,,Y15T26,PT,45.8
2024,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,,Y15T26,PT,34.1
2017,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,43.6
2020,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,54.2
2023,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,54.2
2024,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,41.8
2017,A,0,UNHS,SL_TLF_NEET_19ICLS,,M,Y15T24,PT,27.0
2020,A,0,UNHS,SL_TLF_NEET_19ICLS,,M,Y15T24,PT,36.1
2017,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,M,Y15T25,PT,27.0
2020,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,M,Y15T25,PT,36.1
2023,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,M,Y15T25,PT,36.1
2024,A,0,Uganda National Household Survey,SL_TLF_NEET_19ICLS,,M,Y15T25,PT,25.7
