Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2016,Normal value,Units,Uganda Demographic Health Survey,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,,Percent,5.1
2022,Normal value,Units,Uganda Demographic Health Survey,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,,Percent,4.5
2016,Normal value,Units,Uganda Demographic Health Survey,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Female,Percent,0.8
2022,Normal value,Units,Uganda Demographic Health Survey,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Female,Percent,1.5
2016,Normal value,Units,Uganda Demographic Health Survey,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Male,Percent,9.4
2022,Normal value,Units,Uganda Demographic Health Survey,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Male,Percent,7.6
