Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,71
2016,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,77
2017,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,80
2018,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,79
2019,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,74
2020,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,63
2021,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,58
2022,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,64
2023,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,72
2024,Normal value,Units,Administrative data (GFS data by MoFPED,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,75
