Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,8.0
2016,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,7.0
2017,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,8.0
2018,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,9.0
2019,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,7.0
2020,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,7.029649595687332
2021,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,7.293914544669832
2022,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,8.471228547601282
2023,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,7.606456432662486
2024,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,Mortality rate attributed to unintentional poisonings [3.9.3],,Percent,8.088154269972451
