Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,193
2016,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,433
2017,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,382
2018,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,242
2019,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,340
2020,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,293
2021,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,302
2022,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,317
2023,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,292
2024,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_MALR,,PER_1000_POP,241
