Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2016,A,0,UDHS,SH_FPL_INFM,,,PT,58.5
2016,A,0,Uganda Demographic and Health Survey,SH_FPL_INFM,,Y15T19,PT,58.5
