Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Source details,Value
2017,Normal value,Units,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  [17.15.1],,Percent,2017,,88
2017,Normal value,Units,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient (%)  [17.15.1],,Percent,,OPM - Administrative Data,88
