Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,PT,2021,1
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,211
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,228
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,220
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,207
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,212
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,201
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,PT,2021,200
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,51
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,48
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,48
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,53
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,52
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,60
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,PT,2021,60
