Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Age,UNIT_MEASURE,Value
2016,Normal value,Units,UDHS,"""Proportion of women who make their own informed decisions regarding sexual relations",,,Percent,58.5
2016,Normal value,Units,Uganda Demographic and Health Survey,"""Proportion of women who make their own informed decisions regarding sexual relations",,15 to 19 years old,Percent,58.5
