Year,Value,SERIES
2011,44.0,SG_GEN_LOCG
2017,45.7,SG_GEN_LOCG
2021,46.0,SG_GEN_LOCG
2011,34.0,SG_GEN_PARL
2017,34.9,SG_GEN_PARL
2021,33.8,SG_GEN_PARL
