Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,45466.0
2016,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,24270.0
2017,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,61213.0
2018,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,16144.0
2019,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,56681.0
2020,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,133745.0
2021,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,26090.0
2022,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,38976.0
2023,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,47349.0
2024,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,49743.0
2025,Normal value,Units,"Ministry of Lands, Housing & Urban Development - Administrative Data",Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,123665.0
2024,Normal value,Units,National Population and Housing Census 2024 Report,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Percent,57.0
2024,Normal value,Units,National Population and Housing Census 2024 Report,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,Percent,58.8
