Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,8.0
2016,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,7.0
2017,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,8.0
2018,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,9.0
2019,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,7.0
2020,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,7.029649595687332
2021,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,7.293914544669832
2022,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,8.471228547601282
2023,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,7.606456432662486
2024,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_POISN,,PT,8.088154269972451
