Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Units,GFS,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,56872020
2018,Normal value,Units,GFS,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,53297249
2019,Normal value,Units,GFS,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,53321833
2020,Normal value,Units,GFS,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,72353784
2021,Normal value,Units,GFS,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,35971934
