Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,42.291
2016,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,-46.9
2017,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,-3.8
2018,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,-16.0
2019,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,0.1
2020,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,-6.5
2021,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,15.3
2022,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,14.7
2023,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,41.7
2024,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,43.4
2025,A,0,UBOS- Administrative data,ER_H2O_WUEYST,,USD_PER_M3,44.0
