Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2017,A,0,NGPSS,VC_VOV_DCMN,,,,PT,2017,35
2017,A,0,NGPSS,VC_VOV_DCMN,,,R,PT,2017,33
2017,A,0,NGPSS,VC_VOV_DCMN,,F,,PT,2017,32
2017,A,0,NGPSS,VC_VOV_DCMN,,M,,PT,2017,39
