Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,28.0
2016,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,31.0
2017,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,18.0
2018,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,16.0
2019,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,16.0
2020,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,3.5730458221024257
2021,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,2.3974967630556754
2022,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,2.536979326690954
2023,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,2.313630498268173
2024,A,0,Health Management Information System (HMIS) from Ministry of Health,SH_STA_WASH,,PT,2.968595041322314
