Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,3224
2016,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,3503
2017,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,3500
2018,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,3698
2019,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,3880
2020,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,3663
2021,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,4159
2022,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,4534
2023,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,4806
2024,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,5144
2025,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,,Number,5383
2015,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,690
2016,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,766
2017,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,668
2018,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,769
2019,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,918
2020,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,718
2021,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,808
2022,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,816
2023,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,1227
2024,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,933
2025,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Female,Number,912
2015,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,2534
2016,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,2737
2017,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,2832
2018,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,2920
2019,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,2962
2020,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,2945
2021,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,3351
2022,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,3718
2023,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,3579
2024,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,4211
2025,Normal value,Units,Reported Crime data,Number of deaths rate due to road traffic injuries [3.6.1],,Male,Number,4471
