Year,Value,UNIT_MEASURE,SERIES
2016,87.0,PT,ER_H20_LCMGM
2017,85.0,PT,ER_H20_LCMGM
2018,89.0,PT,ER_H20_LCMGM
2019,89.0,PT,ER_H20_LCMGM
