Year,Value,SERIES
2015,5.3,FI_FSI_FSANL
2016,10.5,FI_FSI_FSANL
2017,5.6,FI_FSI_FSANL
2018,3.4,FI_FSI_FSANL
2019,4.9,FI_FSI_FSANL
2020,5.3,FI_FSI_FSANL
2015,2.6,FI_FSI_FSERA
2016,1.3,FI_FSI_FSERA
2017,2.7,FI_FSI_FSERA
2018,2.5,FI_FSI_FSERA
2019,2.9,FI_FSI_FSERA
2020,2.4,FI_FSI_FSERA
2015,13.0,FI_FSI_FSKA
2016,11.7,FI_FSI_FSKA
2017,13.8,FI_FSI_FSKA
2018,13.9,FI_FSI_FSKA
2019,13.7,FI_FSI_FSKA
2020,13.4,FI_FSI_FSKA
2015,11.8,FI_FSI_FSKNL
2016,17.2,FI_FSI_FSKNL
2017,8.1,FI_FSI_FSKNL
2018,5.2,FI_FSI_FSKNL
2019,8.8,FI_FSI_FSKNL
2020,9.2,FI_FSI_FSKNL
2015,18.6,FI_FSI_FSKRTC
2016,17.3,FI_FSI_FSKRTC
2017,20.9,FI_FSI_FSKRTC
2018,19.8,FI_FSI_FSKRTC
2019,20.1,FI_FSI_FSKRTC
2020,20.6,FI_FSI_FSKRTC
2015,50.0,FI_FSI_FSLS
2016,66.8,FI_FSI_FSLS
2017,55.4,FI_FSI_FSLS
2018,46.3,FI_FSI_FSLS
2019,49.0,FI_FSI_FSLS
2020,51.0,FI_FSI_FSLS
2015,7.7,FI_FSI_FSSNO
2016,-7.4,FI_FSI_FSSNO
2017,-4.9,FI_FSI_FSSNO
2018,-6.9,FI_FSI_FSSNO
2019,-4.3,FI_FSI_FSSNO
2020,-5.6,FI_FSI_FSSNO
