Year,Value,SERIES
2015,21.9,AG_PRD_AGVAS
2016,24.2,AG_PRD_AGVAS
2017,22.9,AG_PRD_AGVAS
2018,22.9,AG_PRD_AGVAS
2019,23.6,AG_PRD_AGVAS
2020,24.8,AG_PRD_AGVAS
2021,23.4,AG_PRD_AGVAS
2015,0.17,AG_PRD_ORTIND
2016,0.16,AG_PRD_ORTIND
2017,0.22,AG_PRD_ORTIND
2018,0.16,AG_PRD_ORTIND
2019,0.16,AG_PRD_ORTIND
