Year,Value,SERIES
2019,90,IT_MOB_2GNTWK
2020,98,IT_MOB_2GNTWK
2021,98,IT_MOB_2GNTWK
2019,83,IT_MOB_3GNTWK
2020,86,IT_MOB_3GNTWK
2021,89,IT_MOB_3GNTWK
2019,25,IT_MOB_4GNTWK
2020,31,IT_MOB_4GNTWK
2021,47,IT_MOB_4GNTWK
