Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_IWW,T,755.4
2018,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_IWW,T,1186.4
2019,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_IWW,T,1845.6
2020,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_IWW,T,2110.1
2021,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_IWW,T,2834.7
2016,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,599847.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,355290.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,105723.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,193693.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,196935.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,181880.0
2022,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,298430.0
2023,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,264181.0
2024,A,0,Administrative data from CAA and URC,IS_RDP_LULFRG,,MOT_RAI,T,279074.0
2015,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,1520439.0
2016,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,1549495.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,1644702.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_PFVOL,,_L_UG_AIR_PASSENGER,NUMBER,1871423.0
