Year,SERIES,Value
2011,SG_GEN_LOCG,44.0
2017,SG_GEN_LOCG,45.7
2021,SG_GEN_LOCG,46.0
2011,SG_GEN_PARL,34.0
2017,SG_GEN_PARL,34.9
2021,SG_GEN_PARL,33.8
