Year,SERIES,Value
2006,VC_VAW_MARR,29.0
2011,VC_VAW_MARR,21.7
2016,VC_VAW_MARR,18.0
2006,VC_VAW_PHYV,34.0
2011,VC_VAW_PHYV,27.0
2016,VC_VAW_PHYV,22.5
2006,VC_VAW_PSYV,49.0
2011,VC_VAW_PSYV,32.6
2016,VC_VAW_PSYV,29.3
2006,VC_VAW_SEXV,11.0
2011,VC_VAW_SEXV,16.0
2016,VC_VAW_SEXV,16.6
2022,VC_VAW_SEXV,11.0
