Year,Value,SERIES
2017,2.0,Proportion of population covered by at least one social protection benefit [1.3.1]
2020,7.5,Proportion of population covered by at least one social protection benefit [1.3.1]
2015,1.5,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2016,1.9,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2017,2.1,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2018,2.0,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2019,2.1,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2020,2.5,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2017,5.0,Proportion of population covered by social insurance programs [1.3.1]
2020,7.5,Proportion of population covered by social insurance programs [1.3.1]
2017,0.5,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1]
2020,0.7,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1]
