Year,Value,SERIES
2015,5.3,Non-performing loans to total gross loans (%) [10.5.1]
2016,10.5,Non-performing loans to total gross loans (%) [10.5.1]
2017,5.6,Non-performing loans to total gross loans (%) [10.5.1]
2018,3.4,Non-performing loans to total gross loans (%) [10.5.1]
2019,4.9,Non-performing loans to total gross loans (%) [10.5.1]
2020,5.3,Non-performing loans to total gross loans (%) [10.5.1]
2015,2.6,Return on assets (%) [10.5.1]
2016,1.3,Return on assets (%) [10.5.1]
2017,2.7,Return on assets (%) [10.5.1]
2018,2.5,Return on assets (%) [10.5.1]
2019,2.9,Return on assets (%) [10.5.1]
2020,2.4,Return on assets (%) [10.5.1]
2015,13.0,Regulatory capital to assets (%) [10.5.1]
2016,11.7,Regulatory capital to assets (%) [10.5.1]
2017,13.8,Regulatory capital to assets (%) [10.5.1]
2018,13.9,Regulatory capital to assets (%) [10.5.1]
2019,13.7,Regulatory capital to assets (%) [10.5.1]
2020,13.4,Regulatory capital to assets (%) [10.5.1]
2015,11.8,Non-performing loans net of provisions to capital (%) [10.5.1]
2016,17.2,Non-performing loans net of provisions to capital (%) [10.5.1]
2017,8.1,Non-performing loans net of provisions to capital (%) [10.5.1]
2018,5.2,Non-performing loans net of provisions to capital (%) [10.5.1]
2019,8.8,Non-performing loans net of provisions to capital (%) [10.5.1]
2020,9.2,Non-performing loans net of provisions to capital (%) [10.5.1]
2015,18.6,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2016,17.3,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2017,20.9,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2018,19.8,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2019,20.1,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2020,20.6,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2015,50.0,Liquid assets to short term liabilities (%) [10.5.1]
2016,66.8,Liquid assets to short term liabilities (%) [10.5.1]
2017,55.4,Liquid assets to short term liabilities (%) [10.5.1]
2018,46.3,Liquid assets to short term liabilities (%) [10.5.1]
2019,49.0,Liquid assets to short term liabilities (%) [10.5.1]
2020,51.0,Liquid assets to short term liabilities (%) [10.5.1]
2015,7.7,Net open position in foreign exchange to capital (%) [10.5.1]
2016,-7.4,Net open position in foreign exchange to capital (%) [10.5.1]
2017,-4.9,Net open position in foreign exchange to capital (%) [10.5.1]
2018,-6.9,Net open position in foreign exchange to capital (%) [10.5.1]
2019,-4.3,Net open position in foreign exchange to capital (%) [10.5.1]
2020,-5.6,Net open position in foreign exchange to capital (%) [10.5.1]
