Year,Value,SERIES
2017,80.0,Proportion of population using basic drinking water services [1.4.1]
2020,79.0,Proportion of population using basic drinking water services [1.4.1]
2017,92.8,Proportion of population using basic sanitation services [1.4.1]
2020,95.0,Proportion of population using basic sanitation services [1.4.1]
