Year,Value,SERIES
2015,6,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2016,6,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2017,6,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2018,6,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2019,6,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2020,7,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2015,515,Plant genetic resources accessions stored ex situ (number) [2.5.1]
2016,255,Plant genetic resources accessions stored ex situ (number) [2.5.1]
2017,362,Plant genetic resources accessions stored ex situ (number) [2.5.1]
2018,520,Plant genetic resources accessions stored ex situ (number) [2.5.1]
2019,11,Plant genetic resources accessions stored ex situ (number) [2.5.1]
2020,296,Plant genetic resources accessions stored ex situ (number) [2.5.1]
