Year,Value,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2017,8.3,Normal value,Units,Percent,Proportion of population with basic handwashing facilities on premises [6.2.1]
2020,7.6,Normal value,Units,Percent,Proportion of population with basic handwashing facilities on premises [6.2.1]
2017,17.9,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2020,20.7,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
