Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2006,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,,PT,6.0
2011,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,,PT,5.0
2016,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,,PT,3.5
2022,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,,PT,3.2
2016,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,F,PT,3.0
2022,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,F,PT,2.7
2016,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,M,PT,4.1
2022,A,0,Uganda Demographic Health Survey 2022,SH_STA_WAST,,M,PT,3.8
2006,A,0,UDHS,SN_STA_OVWGT,,,PT,4.0
2011,A,0,UDHS,SN_STA_OVWGT,,,PT,3.4
2016,A,0,UDHS,SN_STA_OVWGT,,,PT,3.7
2016,A,0,Uganda Demographic Health Survey 2022,SN_STA_OVWGT,,F,PT,2.6
2022,A,0,Uganda Demographic Health Survey 2022,SN_STA_OVWGT,,F,PT,3.2
2016,A,0,Uganda Demographic Health Survey 2022,SN_STA_OVWGT,,M,PT,4.9
2022,A,0,Uganda Demographic Health Survey 2022,SN_STA_OVWGT,,M,PT,3.6
