Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,MoFPED,GC_GOB_TAXD,,PT,63.77417444692634
2011,A,0,MoFPED,GC_GOB_TAXD,,PT,71.9559572795409
2012,A,0,MoFPED,GC_GOB_TAXD,,PT,72.22996614899706
2013,A,0,MoFPED,GC_GOB_TAXD,,PT,70.44268870764003
2014,A,0,MoFPED,GC_GOB_TAXD,,PT,70.62315419474785
2015,A,0,MoFPED,GC_GOB_TAXD,,PT,71.01239644367338
2016,A,0,MoFPED,GC_GOB_TAXD,,PT,77.13687793386428
2017,A,0,MoFPED,GC_GOB_TAXD,,PT,79.76940420159386
2018,A,0,MoFPED,GC_GOB_TAXD,,PT,79.43499295053182
2019,A,0,MoFPED,GC_GOB_TAXD,,PT,74.24866042494266
2020,A,0,MoFPED,GC_GOB_TAXD,,PT,63.3921774308303
2021,A,0,MoFPED,GC_GOB_TAXD,,PT,58.169494035553015
2022,A,0,MoFPED,GC_GOB_TAXD,,PT,64.19625336441507
2023,A,0,MoFPED,GC_GOB_TAXD,,PT,72.3439653658513
2024,A,0,MoFPED,GC_GOB_TAXD,,PT,75.29586222901331
2025,A,0,MoFPED,GC_GOB_TAXD,,PT,77.6
