Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2010,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,,,PT,8.0
2013,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,,,PT,7.2
2017,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,,,PT,6.2
2020,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,,,PT,7.6
2024,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,,,PT,6.8
2017,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,F,,PT,6.0
2020,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,F,,PT,5.4
2024,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,F,,PT,7.0
2017,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,M,,PT,6.4
2020,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,M,,PT,6.0
2024,A,0,Uganda National Household Survey,SH_SAN_HNDWSH,,M,,PT,6.6
2006,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,10.7
2011,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,18.7
2015,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,18.7
2016,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,20.8
2017,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,6.2
2020,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,7.6
2022,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,34.2
2024,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,,PT,41.2
2006,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,R,PT,9.2
2011,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,R,PT,17.4
2015,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,R,PT,17.4
2022,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,R,PT,32.8
2006,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,U,PT,21.1
2011,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,U,PT,26.3
2015,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,U,PT,26.3
2022,A,0,Uganda National Household Survey,SH_SAN_SAFE,,,U,PT,37.8
2016,A,0,Uganda National Household Survey,SH_SAN_SAFE,,F,,PT,17.1
2017,A,0,Uganda National Household Survey,SH_SAN_SAFE,,F,,PT,6.0
2020,A,0,Uganda National Household Survey,SH_SAN_SAFE,,F,,PT,5.4
2024,A,0,Uganda National Household Survey,SH_SAN_SAFE,,F,,PT,41.5
2016,A,0,Uganda National Household Survey,SH_SAN_SAFE,,M,,PT,31.7
2017,A,0,Uganda National Household Survey,SH_SAN_SAFE,,M,,PT,6.4
2020,A,0,Uganda National Household Survey,SH_SAN_SAFE,,M,,PT,6.0
2024,A,0,Uganda National Household Survey,SH_SAN_SAFE,,M,,PT,40.8
