Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.4
2016,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.36
2017,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.25
2018,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.32
2019,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.33
2020,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.19
2021,Normal value,Units,Administrative data from UWA,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Percent,0.38
