Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2016,A,0,UDHS,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,43
2016,A,0,UDHS,SH_DYN_IMRT,,,R,PER_1000_LIVE_BIRTHS,44
2016,A,0,UDHS,SH_DYN_IMRT,,,U,PER_1000_LIVE_BIRTHS,39
2016,A,0,UDHS,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,37
2016,A,0,UDHS,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,49
2016,A,0,UDHS,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,64
2016,A,0,UDHS,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,68
2016,A,0,UDHS,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,52
2016,A,0,UDHS,SH_DYN_MORT,,F,,PER_1000_LIVE_BIRTHS,56
2016,A,0,UDHS,SH_DYN_MORT,,M,,PER_1000_LIVE_BIRTHS,72
