Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_P7,SKILL_READ,PT,89.5
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_P7,SKILL_READ,PT,88.3
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_P7,SKILL_READ,PT,91.9
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,74.0
2012,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,71.4
2013,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,66.3
2014,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,65.6
2015,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,79.2
2016,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,60.7
2017,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,62.9
2018,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,60.7
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,60.7
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,67.2
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,64.2
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,68.3
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,97.0
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,97.2
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,81.9
2012,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,70.8
2013,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,74.6
2014,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,74.7
2015,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,82.3
2016,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,73.6
2017,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,74.3
2018,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,80.3
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,77.2
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,78.1
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,84.82
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,89.7
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,96.0
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,98.0
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,68.8
