Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2006,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,169
2011,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,27
2016,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,27
2022,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,22
2006,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,154
2011,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,141
2016,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,26
2022,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,23
2006,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,16
2011,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,23
2016,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,28
2022,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,22
2011,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,F,,PER_1000_LIVE_BIRTHS,27
2016,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,F,,PER_1000_LIVE_BIRTHS,23
2022,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,F,,PER_1000_LIVE_BIRTHS,18
2011,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,M,,PER_1000_LIVE_BIRTHS,34
2016,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,M,,PER_1000_LIVE_BIRTHS,31
2022,A,0,Uganda Demographic Health Survey,SH_DYN_NMRT,,M,,PER_1000_LIVE_BIRTHS,27
