Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.013685
2016,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.015466
2017,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.016357
2018,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.015794
2019,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.018749
2020,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.023507
2021,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.017781
2022,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.015153
2023,A,0,UNCTAD and WTO.,TX_EXP_GBMRCH,,PT,0.025877
2015,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.040902
2016,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.037446
2017,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.029508
2018,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.03727
2019,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.032656
2020,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.022045
2021,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.027431
2022,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.025185
2023,A,0,UNCTAD and WTO.,TX_EXP_GBSVR,,PT,0.025983
2015,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.033051
2016,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.029807
2017,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.031146
2018,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.033973
2019,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.039833
2020,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.046165
2021,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.04024
2022,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.037931
2023,A,0,UNCTAD and WTO.,TX_IMP_GBMRCH,,PT,0.050158
2015,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.048066
2016,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.040628
2017,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.038374
2018,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.04488
2019,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.048377
2020,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.062109
2021,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.054189
2022,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.047625
2023,A,0,UNCTAD and WTO.,TX_IMP_GBSVR,,PT,0.050936
