Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2017,A,0,Crime Victims Survey,VC_PRR_PHY_VIO,,,PT,2017,48
2017,A,0,Crime Victims Survey,VC_PRR_PHY_VIO,,F,PT,2017,52
2017,A,0,Crime Victims Survey,VC_PRR_PHY_VIO,,M,PT,2017,44
