Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,URA,GR_G14_GDP,,PT,2019,0.107583
2016,A,0,URA,GR_G14_GDP,,PT,2019,0.110886
2017,A,0,URA,GR_G14_GDP,,PT,2019,0.11485
2018,A,0,URA,GR_G14_GDP,,PT,2019,0.117392
2019,A,0,URA,GR_G14_GDP,,PT,2019,0.125783
