Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,SOURCE_DETAIL,Value
2017,A,0,VC_SNS_WALN,,F,PT,2017,,55
2017,A,0,VC_SNS_WALN,,M,PT,2017,NGPSS,65
2017,A,0,VC_SNS_WALN_DRK,,,PT,,NGPSS,61
2025,A,0,VC_SNS_WALN_DRK,,,PT,,NGPSS,60
2017,A,0,VC_SNS_WALN_DRK,,F,PT,,NGPSS,55
2025,A,0,VC_SNS_WALN_DRK,,F,PT,,NGPSS,55
2017,A,0,VC_SNS_WALN_DRK,,M,PT,,NGPSS,65
2025,A,0,VC_SNS_WALN_DRK,,M,PT,,NGPSS,67
