Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2019,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,0.9383933102608648
2020,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,0.9067056199096778
2021,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,1.129233946213439
2022,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,1.628307999577013
2023,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,1.3068659496161883
2024,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,1.3987743817771725
2025,A,0,GFS (Administrative data),SG_XPD_EDUC,,ISCED11_99,PT,1.9591216622456653
2006,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.090314501051489
2009,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,8.426089732206881
2010,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,9.31910673722863
2011,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.307104382226362
2012,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,9.294188740243165
2013,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,13.083729747609926
2014,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,8.5610384178258
2015,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.982031008192003
2016,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,8.594658255909602
2017,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.532758031131505
2018,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,11.866246006251831
2019,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.966117288207418
2020,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,10.828606569732464
2021,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.623245904103026
2022,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,10.353110862384984
2023,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,9.70729696072902
2024,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,9.343921707045707
2025,A,0,GFS (Administrative data),SG_XPD_HLTH,,,PT,7.014717708357853
2006,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.6009038305027237
2009,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,2.8311054336658725
2010,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,5.306487295325106
2011,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,3.917259319604992
2012,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,3.5013035085950746
2013,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,3.750862607889904
2014,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,4.254551075021137
2015,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,3.740278529534801
2016,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.1639829843134757
2017,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.0909209566941924
2018,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,0.9626704173148576
2019,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.914821626245853
2020,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.8801424999862013
2021,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.2049693837613562
2022,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.6339366426177833
2023,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,1.0890636229834387
2024,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,0.7256499496280786
2025,A,0,GFS (Administrative data),SG_XPD_PROT,,,PT,0.400492242657568
