Year,SERIES,SEX,COMPOSITE_BREAKDOWN,Value
2018,SP_GNP_WNOWNS,,_L_UG_TOT_C,41.0
2018,SP_GNP_WNOWNS,,_L_UG_TOT_F,40.0
2018,SP_GNP_WNOWNS,,_L_UG_TOT_M,35.0
2018,SP_GNP_WNOWNS,,_L_UG_TOT_N,40.8
2019,SP_GNP_WNOWNS,,_L_UG_TOT_N,39.0
2018,SP_GNP_WNOWNS,,_L_UG_TOT_P,34.0
2018,SP_LGL_LNDAGSEC,,,48.7
2019,SP_LGL_LNDAGSEC,,,40.8
2018,SP_LGL_LNDAGSEC,F,,39.6
2019,SP_LGL_LNDAGSEC,F,,30.4
2018,SP_LGL_LNDAGSEC,M,,31.1
2019,SP_LGL_LNDAGSEC,M,,52.0
