Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,1276.0
2016,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,1673.0
2017,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,1920.0
2018,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,2723.0
2019,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,2018.0
2020,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,3265.0
2021,A,0,Uganda  Wildlife Education Center,GB_XPD_CUL_PBPV,,NUMBER,3069.0
2015,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,2.0
2016,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,2.7
2017,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,3.2
2018,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,3.9
2019,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,5.2
2020,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,9.9
2021,A,0,Uganda  Wildlife Education Center,GB_XPD_CULNAT_PBPV,,NUMBER,13.2
2015,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,47.1
2016,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,63.9
2017,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,74.9
2018,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,111.6
2019,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,86.2
2020,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,143.7
2021,A,0,Uganda  Wildlife Education Center,GB_XPD_NAT_PBPV,,NUMBER,138.1
