Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,6,BOU - Administrative,GF_FRN_FDI,,USD,737.7
2016,A,6,BOU - Administrative,GF_FRN_FDI,,USD,625.7
2017,A,6,BOU - Administrative,GF_FRN_FDI,,USD,802.7
2018,A,6,BOU - Administrative,GF_FRN_FDI,,USD,1055.4
2019,A,6,BOU - Administrative,GF_FRN_FDI,,USD,1303.0
2020,A,6,BOU - Administrative,GF_FRN_FDI,,USD,1191.5
2021,A,6,BOU - Administrative,GF_FRN_FDI,,USD,1648.2
2022,A,6,BOU - Administrative,GF_FRN_FDI,,USD,2952.9
2023,A,6,BOU - Administrative,GF_FRN_FDI,,USD,2993.5
2024,A,6,BOU - Administrative,GF_FRN_FDI,,USD,3115.66989380016
2025,A,6,BOU - Administrative,GF_FRN_FDI,,USD,3358.03736411234
