Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2006,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,,PT,38.1
2011,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,,PT,33.0
2016,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,,PT,28.9
2022,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,,PT,24.4
2006,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,F,PT,35.6
2011,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,F,PT,30.0
2016,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,F,PT,26.9
2022,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,F,PT,21.6
2006,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,M,PT,40.5
2011,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,M,PT,37.0
2016,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,M,PT,30.9
2022,A,0,Uganda Demographic Health Survey,SH_STA_STNT,,M,PT,27.2
