Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,71
2016,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,77
2017,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,80
2018,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,79
2019,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,74
2020,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,63
2021,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,58
2022,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,64
2023,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,72
2024,A,0,Administrative data (GFS data by MoFPED,GC_GOB_TAXD,,PT,75
