Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2019,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,9929.0
2020,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,86763.0
2021,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,101867.0
2022,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,116961.0
2023,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,131142.0
2024,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,195975.0
2025,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_FIXED_INTERNET,NUMBER,,228718.0
2019,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_INTERNET,NUMBER,,15165850.0
2020,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_INTERNET,NUMBER,,27756763.0
2022,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_INTERNET,NUMBER,,13116961.0
2023,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_INTERNET,NUMBER,,13231142.0
2024,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_INTERNET,NUMBER,,15895975.0
2025,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_INTERNET,NUMBER,,18728718.0
2022,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_MOBILE_INTERNET,NUMBER,,13000000.0
2023,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_MOBILE_INTERNET,NUMBER,,13100000.0
2024,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_MOBILE_INTERNET,NUMBER,,15700000.0
2025,A,0,UCC - Administrative Data,_L_UG_170801_1,,_L_UG_MOBILE_INTERNET,NUMBER,,18500000.0
2019,A,0,UCC,IT_USE_II99,,_L_UG_FIXED_INTERNET,PT,,0.02501008
2020,A,0,UCC,IT_USE_II99,,_L_UG_FIXED_INTERNET,PT,,0.21213447
2021,A,0,UCC,IT_USE_II99,,_L_UG_FIXED_INTERNET,PT,,0.24196437
2022,A,0,UCC,IT_USE_II99,,_L_UG_FIXED_INTERNET,PT,,0.27011778
2023,A,0,UCC,IT_USE_II99,,_L_UG_FIXED_INTERNET,PT,,0.29404036
2024,A,0,UCC,IT_USE_II99,,_L_UG_FIXED_INTERNET,PT,,0.42696078
2019,A,0,UCC,IT_USE_II99,,_L_UG_INTERNET,NUMBER,,15165850.0
2020,A,0,UCC,IT_USE_II99,,_L_UG_INTERNET,NUMBER,,27756763.0
2021,A,0,UCC,IT_USE_II99,,_L_UG_INTERNET,NUMBER,,29541867.0
2022,A,0,UCC,IT_USE_II99,,_L_UG_INTERNET,NUMBER,,33186961.0
2023,A,0,UCC,IT_USE_II99,,_L_UG_INTERNET,NUMBER,,37121142.0
2024,A,0,UCC,IT_USE_II99,,_L_UG_INTERNET,NUMBER,,41795975.0
2019,A,0,UCC,IT_USE_II99,,_L_UG_MOBILE_INTERNET,PT,,66.97733
2020,A,0,UCC,IT_USE_II99,,_L_UG_MOBILE_INTERNET,PT,,67.6528117
2021,A,0,UCC,IT_USE_II99,,_L_UG_MOBILE_INTERNET,PT,,69.9287411
2022,A,0,UCC,IT_USE_II99,,_L_UG_MOBILE_INTERNET,PT,,76.3741339
2023,A,0,UCC,IT_USE_II99,,_L_UG_MOBILE_INTERNET,PT,,82.9372197
2024,A,0,UCC,IT_USE_II99,,_L_UG_MOBILE_INTERNET,PT,,90.6318083
2019,A,0,,IT_USE_II99,,,NUMBER,2021,15165850.0
2020,A,0,,IT_USE_II99,,,NUMBER,2021,18944471.0
2021,A,0,,IT_USE_II99,,,NUMBER,2021,21916218.0
