Year,SERIES,SEX,Value
2016,SH_STA_WAST,,3.5
2016,SH_STA_WAST,F,3.0
2016,SH_STA_WAST,M,4.1
2016,SN_STA_OVWGT,,3.7
2016,SN_STA_OVWGT,F,2.6
2016,SN_STA_OVWGT,M,4.9
