Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,SOURCE_DETAIL,Value
2017,A,0,SG_PLN_PRPOLRES,,PT,2017,,88
2017,A,0,SG_PLN_REPOLRES,,PT,,OPM - Administrative Data,88
