Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_LEGISLATURE,PT,2021,87
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_ADMINISTRATION,PT,2021,119
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_ADMINISTRATION,PT,2021,105
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_ADMINISTRATION,PT,2021,120
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_ADMINISTRATION,PT,2021,132
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_ADMINISTRATION,PT,2021,117
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_ADMINISTRATION,PT,2021,141
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,2021,123
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,2021,90
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,2021,86
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,2021,84
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,2021,76
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_PUBLIC_SECTOR_MANAGEMENT,PT,2021,72
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SECURITY,PT,2021,101
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SECURITY,PT,2021,96
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SECURITY,PT,2021,120
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SECURITY,PT,2021,114
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SECURITY,PT,2021,120
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SECURITY,PT,2021,126
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SOCIAL_DEVELOPMENT,PT,2021,78
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SOCIAL_DEVELOPMENT,PT,2021,64
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SOCIAL_DEVELOPMENT,PT,2021,90
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SOCIAL_DEVELOPMENT,PT,2021,83
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SOCIAL_DEVELOPMENT,PT,2021,64
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_SOCIAL_DEVELOPMENT,PT,2021,84
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_STI,PT,2021,93
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_STI,PT,2021,32
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_STI,PT,2021,103
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_STI,PT,2021,60
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_TOURISM_TRADE_AND_INDUSTRY,PT,2021,52
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_TOURISM_TRADE_AND_INDUSTRY,PT,2021,48
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_TOURISM_TRADE_AND_INDUSTRY,PT,2021,57
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_TOURISM_TRADE_AND_INDUSTRY,PT,2021,42
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_TOURISM_TRADE_AND_INDUSTRY,PT,2021,53
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_TOURISM_TRADE_AND_INDUSTRY,PT,2021,83
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_ENVIRONMENT,PT,2021,104
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_ENVIRONMENT,PT,2021,79
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_ENVIRONMENT,PT,2021,106
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_ENVIRONMENT,PT,2021,86
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_ENVIRONMENT,PT,2021,76
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_ENVIRONMENT,PT,2021,63
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_TRANSPORT,PT,2021,64
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_TRANSPORT,PT,2021,64
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_TRANSPORT,PT,2021,74
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_TRANSPORT,PT,2021,80
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_TRANSPORT,PT,2021,61
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_WATER_AND_TRANSPORT,PT,2021,89
