Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,54101007.76404999
2011,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,133375196.713959
2012,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,87525682.414249
2013,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,78876103.523978
2014,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,97307241.0083
2015,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,110574296.877584
2016,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,106552127.520803
2017,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,74282909.135458
2018,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,97228231.591905
2019,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,52901571.89952101
2020,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,46988224.80657101
2021,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,35775604.133221
2022,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,23894156.991087005
2023,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,43983371.952668
2024,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,54019489.224774
2025,A,0,"Administrative data (Donor Disbursements) From Ministry of Finance, Planning and Economic Development",DC_TOF_INFRAL,,USD,128690539.2
